epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,3893.3,0.31769,0.22996,0.80101,0.99898,0.99858,0.995,0.99076,0.18349,0.16223,0.74284,0.00750025,0.00750025,0.00750025
103,3930.87,0.31461,0.22778,0.79842,0.99922,0.99878,0.995,0.99075,0.18357,0.16167,0.7427,0.0074755,0.0074755,0.0074755
104,3968.93,0.3133,0.22722,0.79923,0.99915,0.99879,0.995,0.99087,0.18246,0.16265,0.74258,0.00745075,0.00745075,0.00745075
105,4006.23,0.31303,0.22627,0.79873,0.99925,0.99867,0.995,0.99075,0.18323,0.16118,0.74199,0.007426,0.007426,0.007426
106,4044.1,0.31294,0.22534,0.8003,0.99912,0.99865,0.995,0.99076,0.18426,0.16127,0.74248,0.00740125,0.00740125,0.00740125
107,4081.48,0.31055,0.22455,0.79888,0.99932,0.99863,0.995,0.99103,0.1815,0.15963,0.74206,0.0073765,0.0073765,0.0073765
108,4119.15,0.30848,0.2248,0.79876,0.99916,0.9987,0.995,0.99106,0.18063,0.15927,0.74185,0.00735175,0.00735175,0.00735175
109,4156.58,0.30885,0.2234,0.79979,0.99922,0.99881,0.995,0.9909,0.18014,0.16,0.74147,0.007327,0.007327,0.007327
110,4193.98,0.31086,0.22428,0.79873,0.99918,0.99881,0.995,0.99102,0.17897,0.15926,0.74122,0.00730225,0.00730225,0.00730225
111,4231.43,0.307,0.22234,0.79919,0.99925,0.99874,0.995,0.99096,0.18038,0.15956,0.7409,0.0072775,0.0072775,0.0072775
112,4268.92,0.30808,0.22237,0.79765,0.99917,0.99874,0.995,0.99097,0.17932,0.15761,0.741,0.00725275,0.00725275,0.00725275
113,4306.43,0.30621,0.22144,0.7994,0.99921,0.99874,0.995,0.99122,0.17393,0.15519,0.74121,0.007228,0.007228,0.007228
114,4343.92,0.30625,0.22161,0.79818,0.99928,0.99883,0.995,0.99084,0.18166,0.15989,0.74092,0.00720325,0.00720325,0.00720325
115,4381.32,0.30577,0.22191,0.79786,0.99876,0.99887,0.995,0.99107,0.17639,0.15651,0.74085,0.0071785,0.0071785,0.0071785
116,4418.89,0.30316,0.21979,0.79834,0.99885,0.99878,0.995,0.99116,0.17782,0.15703,0.74065,0.00715375,0.00715375,0.00715375
117,4456.36,0.30193,0.21805,0.79764,0.99887,0.99887,0.995,0.99112,0.17619,0.15575,0.74057,0.007129,0.007129,0.007129
118,4493.54,0.30269,0.21965,0.79758,0.99886,0.99884,0.995,0.99109,0.18126,0.15772,0.74139,0.00710425,0.00710425,0.00710425
119,4531.08,0.30293,0.2203,0.79636,0.9991,0.99863,0.995,0.99131,0.17392,0.15383,0.74029,0.0070795,0.0070795,0.0070795
120,4568.78,0.2991,0.21772,0.79767,0.99893,0.99875,0.995,0.99133,0.17463,0.15526,0.74051,0.00705475,0.00705475,0.00705475
121,4606.41,0.30194,0.21843,0.79799,0.99875,0.99892,0.995,0.99149,0.17286,0.15334,0.74038,0.00703,0.00703,0.00703
122,4644.27,0.30036,0.21754,0.79674,0.99892,0.99907,0.995,0.99127,0.17272,0.15323,0.7401,0.00700525,0.00700525,0.00700525
123,4682.14,0.29852,0.21626,0.79759,0.9992,0.99884,0.995,0.99125,0.17502,0.15273,0.74042,0.0069805,0.0069805,0.0069805
124,4719.66,0.29778,0.21554,0.79795,0.99924,0.99909,0.995,0.99118,0.17352,0.15293,0.74033,0.00695575,0.00695575,0.00695575
125,4757.3,0.29796,0.2158,0.79918,0.9994,0.99901,0.995,0.99127,0.17175,0.15134,0.74071,0.006931,0.006931,0.006931
126,4794.64,0.2973,0.21599,0.7971,0.99947,0.99885,0.995,0.9912,0.17308,0.15085,0.74031,0.00690625,0.00690625,0.00690625
127,4832.4,0.29393,0.21332,0.79748,0.99925,0.99903,0.995,0.99127,0.17433,0.14997,0.73973,0.0068815,0.0068815,0.0068815
128,4869.81,0.29554,0.2142,0.79825,0.99891,0.99887,0.995,0.99129,0.17337,0.15083,0.73983,0.00685675,0.00685675,0.00685675
129,4907.25,0.29571,0.21456,0.79706,0.9992,0.99894,0.995,0.99131,0.17135,0.14922,0.74013,0.006832,0.006832,0.006832
130,4944.81,0.29251,0.21288,0.79659,0.99915,0.99895,0.995,0.99147,0.17023,0.14869,0.73994,0.00680725,0.00680725,0.00680725
131,4982.22,0.29627,0.21409,0.7978,0.99922,0.99876,0.995,0.99136,0.16981,0.14985,0.73962,0.0067825,0.0067825,0.0067825
132,5019.76,0.29054,0.21166,0.79698,0.99922,0.99877,0.995,0.99139,0.16922,0.14832,0.73962,0.00675775,0.00675775,0.00675775
133,5057.82,0.29408,0.21296,0.79737,0.99928,0.99911,0.995,0.99132,0.16802,0.14754,0.73959,0.006733,0.006733,0.006733
134,5095.28,0.2913,0.21123,0.79746,0.99916,0.99897,0.995,0.99132,0.16727,0.1466,0.73954,0.00670825,0.00670825,0.00670825
135,5132.78,0.29235,0.21251,0.79667,0.99905,0.99848,0.995,0.9913,0.16887,0.148,0.73911,0.0066835,0.0066835,0.0066835
136,5170.14,0.29318,0.21162,0.7966,0.99911,0.99855,0.995,0.99131,0.16801,0.14829,0.73937,0.00665875,0.00665875,0.00665875
137,5207.85,0.29286,0.21225,0.79597,0.99881,0.99868,0.995,0.99132,0.16863,0.14786,0.73977,0.006634,0.006634,0.006634
138,5244.97,0.28785,0.21016,0.79662,0.99895,0.99866,0.995,0.99147,0.16884,0.14731,0.73979,0.00660925,0.00660925,0.00660925
139,5282.12,0.2873,0.20876,0.79648,0.99886,0.99873,0.995,0.99151,0.16875,0.14664,0.7398,0.0065845,0.0065845,0.0065845
140,5319.35,0.28746,0.20914,0.79669,0.99922,0.99885,0.995,0.99154,0.16652,0.14518,0.7399,0.00655975,0.00655975,0.00655975
141,5356.32,0.28567,0.20823,0.79625,0.99921,0.9988,0.995,0.99149,0.16571,0.14475,0.73958,0.006535,0.006535,0.006535
142,5394.09,0.28797,0.20931,0.79624,0.99918,0.99887,0.995,0.99143,0.16511,0.14408,0.73942,0.00651025,0.00651025,0.00651025
143,5431.27,0.28793,0.20886,0.79609,0.99908,0.99897,0.995,0.99152,0.1668,0.14579,0.73911,0.0064855,0.0064855,0.0064855
144,5468.59,0.28489,0.20725,0.79773,0.99922,0.99876,0.995,0.99154,0.16516,0.14507,0.73908,0.00646075,0.00646075,0.00646075
145,5505.7,0.28632,0.20721,0.79595,0.99917,0.99883,0.995,0.99141,0.16462,0.14431,0.73904,0.006436,0.006436,0.006436
146,5543.14,0.28327,0.20569,0.79597,0.99914,0.99881,0.995,0.99158,0.16432,0.14341,0.73897,0.00641125,0.00641125,0.00641125
147,5580.33,0.28532,0.20746,0.79606,0.99922,0.99871,0.995,0.9915,0.16454,0.14399,0.73908,0.0063865,0.0063865,0.0063865
148,5617.64,0.28397,0.20658,0.7967,0.9991,0.99886,0.995,0.9915,0.1638,0.14351,0.73883,0.00636175,0.00636175,0.00636175
149,5654.92,0.28416,0.20543,0.79619,0.99903,0.99867,0.995,0.99158,0.16439,0.1438,0.73878,0.006337,0.006337,0.006337
150,5692,0.28353,0.20583,0.79626,0.99898,0.99866,0.995,0.9917,0.16421,0.14277,0.7389,0.00631225,0.00631225,0.00631225
151,5729.29,0.28206,0.20554,0.7966,0.99916,0.99876,0.995,0.99177,0.16381,0.14282,0.73893,0.0062875,0.0062875,0.0062875
152,5766.61,0.28219,0.20442,0.79529,0.99927,0.99872,0.995,0.99158,0.1632,0.14225,0.73909,0.00626275,0.00626275,0.00626275
153,5803.67,0.27973,0.2046,0.79597,0.99927,0.99867,0.995,0.99155,0.163,0.14217,0.73912,0.006238,0.006238,0.006238
154,5840.76,0.27973,0.20392,0.79582,0.9994,0.9986,0.995,0.99162,0.16329,0.14222,0.739,0.00621325,0.00621325,0.00621325
155,5878.22,0.27921,0.20289,0.79497,0.99909,0.99855,0.995,0.99167,0.16303,0.14136,0.7389,0.0061885,0.0061885,0.0061885
156,5915.77,0.2805,0.20417,0.79485,0.99908,0.99851,0.995,0.99177,0.16332,0.14115,0.73878,0.00616375,0.00616375,0.00616375
157,5953.14,0.27957,0.2034,0.79629,0.99929,0.99866,0.995,0.99184,0.16227,0.14054,0.73865,0.006139,0.006139,0.006139
158,5990.47,0.27664,0.20076,0.79516,0.9992,0.99875,0.995,0.99184,0.16269,0.1407,0.73872,0.00611425,0.00611425,0.00611425
159,6027.69,0.27985,0.2031,0.79571,0.99904,0.99888,0.995,0.99168,0.16193,0.1406,0.7387,0.0060895,0.0060895,0.0060895
160,6064.67,0.27574,0.20121,0.79682,0.99929,0.99862,0.995,0.99166,0.16257,0.141,0.73856,0.00606475,0.00606475,0.00606475
161,6101.88,0.27854,0.20145,0.79468,0.99931,0.99858,0.995,0.99178,0.1622,0.14046,0.73846,0.00604,0.00604,0.00604
162,6139.57,0.27553,0.20081,0.79506,0.99933,0.99862,0.995,0.99161,0.16115,0.1394,0.73827,0.00601525,0.00601525,0.00601525
163,6176.92,0.27783,0.20226,0.79572,0.99921,0.99872,0.995,0.99175,0.15992,0.13851,0.73845,0.0059905,0.0059905,0.0059905
164,6213.73,0.27586,0.2004,0.79511,0.99905,0.99894,0.995,0.99187,0.15957,0.13865,0.73838,0.00596575,0.00596575,0.00596575
165,6250.85,0.27493,0.20018,0.79346,0.99901,0.99898,0.995,0.99189,0.15961,0.13855,0.73825,0.005941,0.005941,0.005941
166,6288.22,0.2745,0.20005,0.79645,0.999,0.99893,0.995,0.99172,0.16036,0.13903,0.7382,0.00591625,0.00591625,0.00591625
167,6325.46,0.27508,0.20059,0.79386,0.99904,0.99891,0.995,0.99174,0.15901,0.139,0.7383,0.0058915,0.0058915,0.0058915
168,6362.71,0.27271,0.1993,0.79499,0.99897,0.99859,0.995,0.99183,0.15886,0.13876,0.73844,0.00586675,0.00586675,0.00586675
169,6399.98,0.27264,0.19819,0.79448,0.99893,0.99866,0.995,0.99183,0.15936,0.13935,0.73848,0.005842,0.005842,0.005842
170,6437.56,0.27136,0.19783,0.79399,0.99897,0.99867,0.995,0.99185,0.15927,0.13901,0.7383,0.00581725,0.00581725,0.00581725
171,6474.83,0.27147,0.19818,0.7926,0.99891,0.99866,0.995,0.99188,0.15966,0.13912,0.7383,0.0057925,0.0057925,0.0057925
172,6511.95,0.27157,0.19751,0.79504,0.99897,0.99897,0.995,0.99189,0.15961,0.13928,0.73823,0.00576775,0.00576775,0.00576775
173,6549.38,0.27144,0.19764,0.79366,0.99907,0.99897,0.995,0.99196,0.15845,0.13877,0.73814,0.005743,0.005743,0.005743
174,6586.7,0.27059,0.19609,0.79492,0.99907,0.99898,0.995,0.99187,0.15809,0.13801,0.73818,0.00571825,0.00571825,0.00571825
175,6623.65,0.26952,0.19594,0.79433,0.99869,0.99896,0.995,0.99187,0.15858,0.13876,0.73807,0.0056935,0.0056935,0.0056935
176,6660.76,0.26786,0.19463,0.79408,0.99883,0.99883,0.995,0.99199,0.15754,0.13733,0.73797,0.00566875,0.00566875,0.00566875
177,6697.99,0.26877,0.19596,0.79471,0.99887,0.99874,0.995,0.99199,0.15758,0.13712,0.738,0.005644,0.005644,0.005644
178,6735.24,0.27003,0.19617,0.79477,0.99898,0.99862,0.995,0.99196,0.15712,0.1361,0.73795,0.00561925,0.00561925,0.00561925
179,6772.41,0.26641,0.19442,0.79515,0.99889,0.9987,0.995,0.99197,0.15684,0.13611,0.73795,0.0055945,0.0055945,0.0055945
180,6809.56,0.2662,0.19416,0.79433,0.99889,0.99871,0.995,0.99199,0.15689,0.13627,0.73788,0.00556975,0.00556975,0.00556975
181,6846.84,0.26566,0.19325,0.79369,0.99894,0.99868,0.995,0.99202,0.15649,0.13626,0.73782,0.005545,0.005545,0.005545
182,6884.13,0.26629,0.19397,0.79451,0.99892,0.99865,0.995,0.992,0.15639,0.13605,0.73789,0.00552025,0.00552025,0.00552025
183,6921.25,0.2682,0.19531,0.79446,0.99887,0.99867,0.995,0.99204,0.15633,0.13605,0.73786,0.0054955,0.0054955,0.0054955
184,6958.28,0.26278,0.19158,0.79451,0.99888,0.99869,0.995,0.99202,0.15579,0.13544,0.73786,0.00547075,0.00547075,0.00547075
